,population,lat,NDVI,PRI,ExGm,GRVI,ARI,RGR,NDVI_sd,PRI_sd,ExGm_sd,GRVI_sd,ARI_sd,RGR_sd
29,FB,44.99013,0.351473193,-0.176422348,-0.910739185,-0.315909671,0.109659126,1.628704155,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
30,FB,44.99013,0.460576947,-0.151750973,-1.138630563,-0.336612959,0.159879744,1.695692214,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
31,FB,44.99013,0.373714653,-0.170259335,-1.801328976,-0.375534513,0.165068472,1.831302228,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
32,FB,44.99013,0.584849887,-0.139483395,1.930530657,-0.168037589,0.125105633,1.26684642,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
33,GS,34.09004,0.460328508,-0.147531051,-2.62870526,-0.531862569,0.45535563,2.478205606,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
34,GS,34.09004,0.505353245,-0.111053044,-2.609495798,-0.692846319,0.850144932,3.405653796,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
35,GS,34.09004,0.539416551,-0.106906339,-2.215049798,-0.525336863,0.47446064,2.424430165,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
36,GS,34.09004,0.400906425,-0.267033879,-2.554931528,-0.47427426,0.202217039,2.188781915,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
37,GS,34.09004,0.508934788,-0.119443755,-1.475860566,-0.395198005,0.333349203,1.909274403,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
38,GS,34.09004,0.473419812,-0.146810146,-2.685300342,-0.705467194,0.826861972,3.463022675,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
39,GS,34.09004,0.560434344,-0.145440844,-2.108149704,-0.538580992,0.45093929,2.471742634,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
40,GS,34.09004,0.401186855,-0.151789387,-2.957692188,-0.533045187,0.409473157,2.494578313,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
