pop,lat,PPFD,FvFmprime,qP,qL,qN,NPQ,phiPSII,phiNPQ,phiNO,JETR,JNPQ,JNO,Jtot,phiNO_new,FvFmprime_mean,FvFm_mean
CB,32.284182,730.7745,0.372374402,0.520320846,0.435930613,0.762362626,0.704576935,0.196257486,0.30937237,0.494370144,133.704145,210.7658111,336.7990632,681.2690194,0.464509888,0.372374402,0.494343509
CB,32.284182,871.8635,0.372516165,0.489969097,0.405976251,0.763606969,0.713197941,0.185181464,0.314977686,0.49984085,150.5155137,256.0138968,406.2706963,812.8001069,0.469065514,0.372516165,0.495288714
CB,32.284182,1012.9525,0.37254257,0.485174372,0.402603939,0.753513583,0.704383873,0.182726575,0.310919248,0.506354176,172.5544048,293.6107448,478.1660438,944.3311934,0.472246964,0.37254257,0.493441526
CB,32.284182,1154.0415,0.370309189,0.461919527,0.381266606,0.762105751,0.720524397,0.1731663,0.318825146,0.508008555,186.3030907,343.0119491,546.5472432,1075.862283,0.473352832,0.370309189,0.493119189
CB,32.284182,1295.1305,0.37320961,0.457124785,0.375585567,0.749997273,0.703615623,0.17207315,0.313527804,0.514399046,207.7599803,378.5513916,621.0819973,1207.393369,0.478688423,0.37320961,0.493746066
CB,32.284182,1436.2195,0.374128947,0.441148138,0.359877617,0.742315882,0.686784558,0.166325808,0.31196462,0.521709571,222.6976921,417.6970594,698.5297039,1338.924455,0.486611991,0.374128947,0.49253046
CI,30.70123,95.874,0.492555664,0.86965442,0.798994308,0.33993648,0.238819539,0.430981536,0.106270148,0.462748316,38.60082569,9.518077032,41.44601472,89.56491744,0.458900077,0.492555664,0.543436796
CI,30.70123,166.4185,0.468289433,0.861018862,0.786433646,0.476281137,0.368814027,0.405323908,0.154324773,0.440351319,63.01455988,23.99243533,68.46017225,155.4671675,0.434695897,0.468289433,0.54325068
CI,30.70123,236.963,0.426120053,0.795143392,0.712523055,0.681386362,0.626306478,0.341306424,0.243706159,0.414987418,75.55480426,53.94909045,91.86552298,221.3694177,0.406229786,0.426120053,0.541437709
CI,30.70123,307.5075,0.395627529,0.737095673,0.651950051,0.811319999,0.860014672,0.294332551,0.311244458,0.394422992,84.55340272,89.41171445,113.3065506,287.2716678,0.381017873,0.395627529,0.54103218
CI,30.70123,378.052,0.373331225,0.649216599,0.562136649,0.902779701,1.071744468,0.245540997,0.372143634,0.382315369,86.71867582,131.4314251,135.0238166,353.1739175,0.365423052,0.373331225,0.542584727
CI,30.70123,448.5965,0.359497322,0.612013905,0.528045596,0.958059858,1.223867859,0.223580548,0.407282911,0.369136542,93.69727919,170.6825614,154.6963273,419.0761679,0.350996144,0.359497322,0.543766413
CI,30.70123,519.141,0.349545664,0.563997892,0.483718668,0.99095654,1.334758442,0.201199569,0.433691806,0.365108626,97.57744858,210.3311658,177.0698037,484.978418,0.34386901,0.349545664,0.543737155
CI,30.70123,589.6855,0.343289201,0.539129896,0.461048368,1.012818755,1.40917943,0.188499094,0.450445888,0.361055018,103.8405067,248.1419315,198.8982293,550.8806676,0.338274611,0.343289201,0.543765439
CI,30.70123,660.23,0.338857385,0.508202119,0.431519558,1.027119047,1.472162051,0.175905703,0.465388374,0.358705922,108.4956327,287.0435991,221.2436851,616.782917,0.334811514,0.338857385,0.544604632
CI,30.70123,730.7745,0.336707612,0.494893345,0.419228274,1.034334104,1.501347642,0.169947372,0.47146637,0.358586258,116.0205501,321.8630978,244.8015196,682.6851676,0.333230887,0.336707612,0.544476834
CI,30.70123,871.8635,0.332296784,0.469184484,0.395676302,1.049221415,1.562889092,0.159299797,0.484849476,0.355850727,129.7480387,394.9048886,289.8367404,814.4896676,0.32955836,0.332296784,0.544837211
CI,30.70123,1012.9525,0.327944918,0.465194993,0.394389648,1.062542177,1.604636453,0.155616925,0.491528587,0.352854489,147.2593885,465.1306351,333.904145,946.2941686,0.325651726,0.327944918,0.543575725
CI,30.70123,95.874,0.461111974,0.830792678,0.748410837,0.251098705,0.153355691,0.387170246,0.076554212,0.536275541,34.67687112,6.856571677,48.03147455,89.56491735,0.541741572,0.461111974,0.494376052
CI,30.70123,166.4185,0.446485073,0.79746788,0.706921689,0.335854816,0.212988808,0.360225164,0.105606441,0.534168395,56.00318589,16.41833425,83.04564732,155.4671675,0.537106289,0.446485073,0.491683456
CI,30.70123,236.963,0.430197404,0.727591187,0.630072177,0.442123018,0.297956328,0.318833717,0.147707232,0.533459051,70.5800342,32.6978639,118.0915194,221.3694175,0.532469391,0.430197404,0.491201905
