Taxa,NDVI,PRI,ExGm,GRVI,ARI,RGR,NDVI_sd,PRI_sd,ExGm_sd,GRVI_sd,ARI_sd,RGR_sd
Sphagnum,0.605717468,-0.117462967,-0.292723312,-0.311242708,0.520700483,1.634525994,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.56126459,-0.122052705,-1.328663243,-0.450613517,0.506921457,2.064958422,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Sphagnum,0.555494817,-0.109807209,-1.837507003,-0.637033192,0.879233069,2.991701653,0.090555619,0.057556582,1.45302187,0.166274941,0.322421597,0.751855936
Marchantia,0.68699471,-0.023417173,3.663753501,0.102482885,0.097942466,0.828305982,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.841123759,0.030268741,8.444915966,0.060705849,0.043346177,0.888696084,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.596252644,0.002108222,3.136423903,-0.025718764,0.028599277,1.026135463,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.630427123,0.000370508,3.145149393,0.017068651,0.017431548,0.950986139,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.523122613,-0.004385196,7.539673203,0.075383373,0.017930103,0.871968303,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.486326276,0.015500628,7.175569561,0.152045847,0.010438595,0.757431258,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.668236366,0.003134119,6.374388422,0.139882129,0.016391803,0.765303726,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.806909607,-0.012263099,7.439047619,0.072616402,0.123160821,0.872023009,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.545808567,-0.034300792,4.742114846,0.164324683,0.019072357,0.750590626,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.359229976,-0.053623796,8.944281046,0.355546898,0.018488596,0.539648248,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.48065807,-0.059262998,6.172096172,0.227481919,0.041874727,0.668831191,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.54398632,-0.029398462,5.758169935,0.20286412,0.026879565,0.693498125,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.600577397,-0.09001233,3.201139122,0.004103737,0.049967802,0.970943481,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.544842502,-0.032658337,3.219164332,-0.027264003,0.015265838,1.017102008,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.649751244,-0.025145068,5.308996265,0.295259175,0.013985556,0.60246969,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.386645553,-0.033967024,4.193291317,0.002917415,0.000989939,0.982679216,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.432154605,-0.022416128,6.179481793,0.140300888,0.05550908,0.781185589,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.587901008,-0.008695652,5.177983193,0.012514663,0.030910986,0.962902142,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
